Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
113.350;7;T7C;Control;38.130;-380.280;0.22;0.022;0.000;0.000;36805.18;42.648;-380.304;-1.1
113.452;7;T7C;Control;38.130;-380.280;0.13;0.022;0.000;0.000;20503.86;49.940;-380.292;-1.2
113.554;7;T7C;Control;38.131;-380.280;0.05;0.022;0.130;0.000;4318.99;38.131;-380.280;-1.2
113.656;7;T7C;Control;38.144;-380.280;0.26;0.022;0.530;0.000;765.39;207.831;-381.449;-1.3
113.758;7;T7C;Control;38.187;-380.280;0.60;0.000;0.800;0.000;317.42;208.429;-380.470;-1.5
113.860;7;T7C;Control;38.269;-380.280;1.00;0.000;0.900;0.000;181.90;208.182;-380.351;-1.8
113.962;7;T7C;Control;38.393;-380.280;1.40;0.000;0.900;0.000;129.06;207.789;-380.346;-2.0
114.064;7;T7C;Control;38.558;-380.280;1.80;0.000;0.900;0.000;97.85;207.366;-380.351;-2.0
114.164;7;T7C;Control;38.758;-380.281;2.18;0.022;0.900;0.000;80.36;206.984;-381.162;-2.1
114.266;7;T7C;Control;39.002;-380.282;2.57;0.022;0.900;0.000;68.00;206.589;-381.849;-2.2
114.368;7;T7C;Control;39.284;-380.286;2.95;0.022;0.900;0.000;57.87;206.136;-382.442;-2.3
114.470;7;T7C;Control;39.605;-380.291;3.32;0.022;0.890;0.000;51.02;205.718;-382.989;-2.5
114.572;7;T7C;Control;39.964;-380.297;3.69;0.022;0.890;0.000;45.84;205.317;-383.556;-2.6
114.674;7;T7C;Control;40.360;-380.306;4.05;0.022;0.890;0.000;41.70;204.919;-384.155;-2.8
114.776;7;T7C;Control;40.792;-380.317;4.41;0.000;0.880;0.000;37.81;204.475;-384.352;-2.9
114.878;7;T7C;Control;41.260;-380.328;4.75;-0.022;0.870;0.000;34.99;204.104;-383.782;-2.9
114.980;7;T7C;Control;41.763;-380.337;5.08;-0.022;0.860;0.000;32.27;203.681;-382.851;-2.6
115.082;7;T7C;Control;42.299;-380.344;5.41;-0.022;0.860;0.000;30.19;203.299;-382.027;-2.4
115.184;7;T7C;Control;42.868;-380.347;5.73;-0.022;0.850;0.000;28.40;202.925;-381.201;-2.2
115.286;7;T7C;Control;43.470;-380.348;6.05;-0.022;0.850;0.000;26.56;202.483;-380.208;-2.0
115.386;7;T7C;Control;44.091;-380.346;6.35;-0.022;0.850;0.000;25.16;202.090;-379.333;-1.9
115.488;7;T7C;Control;44.756;-380.339;6.66;-0.022;0.850;0.000;23.90;201.700;-378.438;-1.8
115.590;7;T7C;Control;45.452;-380.327;6.97;-0.022;0.850;0.000;22.59;201.248;-377.390;1.8
115.692;7;T7C;Control;46.179;-380.312;7.27;0.000;0.850;0.000;21.55;200.846;-376.799;1.9
115.794;7;T7C;Control;46.936;-380.294;7.56;0.000;0.850;0.000;20.47;200.404;-376.526;1.9
115.896;7;T7C;Control;47.723;-380.274;7.86;0.000;0.850;0.000;19.60;200.018;-376.412;1.9
115.998;7;T7C;Control;48.539;-380.253;8.14;0.000;0.840;0.000;18.70;199.580;-376.352;1.9
116.100;7;T7C;Control;49.384;-380.231;8.42;0.000;0.840;0.000;17.97;199.193;-376.329;1.9
116.202;7;T7C;Control;50.258;-380.208;8.70;0.000;0.840;0.000;17.21;198.766;-376.322;1.9
116.304;7;T7C;Control;51.159;-380.185;8.97;0.000;0.840;0.000;16.56;198.375;-376.325;1.9
116.406;7;T7C;Control;52.088;-380.161;9.24;0.000;0.840;0.000;15.97;197.997;-376.331;1.8
116.508;7;T7C;Control;53.044;-380.136;9.50;0.022;0.830;0.000;15.33;197.559;-376.641;1.8
116.608;7;T7C;Control;54.007;-380.116;9.75;0.022;0.830;0.000;14.81;197.184;-377.259;-1.8
