Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
127.790;8;T7A;Multimodal;-282.070;-285.100;0.22;0.000;0.000;0.000;33338.14;-282.070;-280.111;-1.1
127.892;8;T7A;Multimodal;-282.070;-285.100;0.12;0.000;0.000;0.000;20276.62;-282.071;-272.365;-1.2
127.994;8;T7A;Multimodal;-282.070;-285.099;0.06;0.000;0.360;0.000;2872.42;-282.070;-285.099;-1.2
128.094;8;T7A;Multimodal;-282.070;-285.082;0.29;0.000;0.820;0.000;700.78;-282.069;-114.461;-1.3
128.196;8;T7A;Multimodal;-282.070;-285.030;0.70;0.000;1.000;0.000;274.42;-282.069;-113.941;-1.5
128.296;8;T7A;Multimodal;-282.070;-284.934;1.17;0.000;1.000;0.000;157.40;-282.070;-114.236;-1.9
128.396;8;T7A;Multimodal;-282.070;-284.794;1.62;0.000;1.000;0.000;113.78;-282.070;-114.617;-2.1
128.498;8;T7A;Multimodal;-282.070;-284.606;2.06;0.000;1.000;0.000;87.58;-282.070;-115.025;-2.1
128.598;8;T7A;Multimodal;-282.070;-284.379;2.47;0.000;1.000;0.000;70.48;-282.070;-115.456;-2.2
128.698;8;T7A;Multimodal;-282.070;-284.109;2.88;0.000;1.000;0.000;59.73;-282.070;-115.846;-2.2
128.800;8;T7A;Multimodal;-282.070;-283.792;3.31;0.000;1.000;0.000;52.12;-282.070;-116.234;-2.2
128.900;8;T7A;Multimodal;-282.070;-283.439;3.72;0.000;1.000;0.000;46.13;-282.070;-116.627;-2.2
129.002;8;T7A;Multimodal;-282.070;-283.036;4.15;0.000;1.000;0.000;41.29;-282.070;-117.026;-2.2
129.102;8;T7A;Multimodal;-282.070;-282.601;4.53;0.000;1.000;0.000;37.10;-282.070;-117.457;-2.2
129.202;8;T7A;Multimodal;-282.070;-282.127;4.93;0.000;1.000;0.000;33.90;-282.070;-117.854;-2.2
129.304;8;T7A;Multimodal;-282.070;-281.603;5.34;0.000;1.000;0.000;31.27;-282.070;-118.246;-2.2
129.404;8;T7A;Multimodal;-282.070;-281.050;5.71;0.000;1.000;0.000;29.01;-282.070;-118.636;-2.2
129.504;8;T7A;Multimodal;-282.070;-280.459;6.09;0.000;1.000;0.000;27.04;-282.070;-119.031;-2.2
129.606;8;T7A;Multimodal;-282.070;-279.818;6.45;0.000;1.000;0.000;25.16;-282.070;-119.462;-2.2
129.706;8;T7A;Multimodal;-282.070;-279.151;6.85;0.000;1.000;0.000;23.65;-282.070;-119.848;-2.2
129.808;8;T7A;Multimodal;-282.070;-278.434;7.20;0.000;1.000;0.000;22.31;-282.070;-120.244;-2.2
129.908;8;T7A;Multimodal;-282.070;-277.695;7.55;0.000;1.000;0.000;21.09;-282.070;-120.644;-2.2
130.008;8;T7A;Multimodal;-282.070;-276.920;7.93;0.000;1.000;0.000;19.98;-282.070;-121.038;-2.2
130.110;8;T7A;Multimodal;-282.070;-276.092;8.27;0.000;1.000;0.000;18.90;-282.070;-121.475;-2.2
130.210;8;T7A;Multimodal;-282.070;-275.247;8.62;0.000;1.000;0.000;18.00;-282.070;-121.861;-2.2
130.310;8;T7A;Multimodal;-282.070;-274.368;8.96;0.000;1.000;0.000;17.18;-282.070;-122.257;-2.2
130.412;8;T7A;Multimodal;-282.070;-273.434;9.31;0.000;1.000;0.000;16.41;-282.070;-122.658;-2.2
130.512;8;T7A;Multimodal;-282.070;-272.486;9.63;0.000;1.000;0.000;15.69;-282.070;-123.059;-2.3
130.614;8;T7A;Multimodal;-282.070;-271.486;9.96;0.000;1.000;0.000;14.96;-282.070;-123.501;-2.3
130.716;8;T7A;Multimodal;-282.070;-270.452;10.30;0.000;1.000;0.000;14.34;-282.070;-123.905;-2.3
130.816;8;T7A;Multimodal;-282.070;-269.404;10.60;0.000;1.000;0.000;13.83;-282.070;-124.264;-2.3
130.918;8;T7A;Multimodal;-282.070;-268.305;10.93;0.000;1.000;0.000;13.28;-282.070;-124.677;-2.3
131.018;8;T7A;Multimodal;-282.070;-267.195;11.25;0.000;1.000;0.000;12.75;-282.070;-125.089;-2.3
131.118;8;T7A;Multimodal;-282.070;-266.054;11.57;0.000;1.000;0.000;12.27;-282.070;-125.495;-2.3
131.220;8;T7A;Multimodal;-282.070;-264.858;11.86;0.000;1.000;0.000;11.82;-282.070;-125.900;-2.3
131.320;8;T7A;Multimodal;-282.070;-263.657;12.16;0.000;1.000;0.000;11.38;-282.070;-126.308;-2.3
131.420;8;T7A;Multimodal;-282.070;-262.426;12.45;0.000;1.000;0.000;10.97;-282.070;-126.711;-2.3
131.522;8;T7A;Multimodal;-282.070;-261.139;12.76;0.000;1.000;0.000;10.58;-282.070;-127.128;-2.3
131.622;8;T7A;Multimodal;-282.070;-259.848;13.03;0.000;1.000;0.000;10.25;-282.070;-127.483;-2.3
131.724;8;T7A;Multimodal;-282.070;-258.503;13.32;0.000;1.000;0.000;9.86;-282.070;-127.934;-2.3
131.824;8;T7A;Multimodal;-282.070;-257.156;13.60;0.000;1.000;0.000;9.56;-282.070;-128.290;-2.4
131.924;8;T7A;Multimodal;-282.070;-255.782;13.89;0.000;1.000;0.000;9.23;-282.070;-128.706;-2.4
132.026;8;T7A;Multimodal;-282.070;-254.351;14.16;0.000;1.000;0.000;8.92;-282.070;-129.108;-2.4
132.126;8;T7A;Multimodal;-282.070;-252.921;14.43;0.000;1.000;0.000;8.63;-282.070;-129.496;-2.4
132.226;8;T7A;Multimodal;-282.070;-251.464;14.69;0.000;1.000;0.000;8.32;-282.070;-129.938;-2.4
132.328;8;T7A;Multimodal;-282.070;-249.951;14.96;0.000;1.000;0.000;8.05;-282.070;-130.322;-2.4
132.428;8;T7A;Multimodal;-282.070;-248.442;15.21;0.000;1.000;0.000;7.80;-282.070;-130.711;-2.4
132.530;8;T7A;Multimodal;-282.070;-246.876;15.48;0.000;0.930;0.000;7.53;-282.070;-131.133;-2.5
132.630;8;T7A;Multimodal;-282.070;-245.317;15.69;0.000;0.930;0.000;7.30;-282.070;-131.515;-2.5
132.730;8;T7A;Multimodal;-282.070;-243.741;15.83;0.000;0.630;0.000;7.09;-282.070;-131.943;-2.5
132.832;8;T7A;Multimodal;-282.070;-242.122;15.90;0.000;0.630;0.000;6.93;-282.070;-132.326;-2.4
132.932;8;T7A;Multimodal;-282.070;-240.530;15.95;0.000;0.560;0.000;6.78;-282.070;-132.730;-2.3
133.032;8;T7A;Multimodal;-282.070;-238.934;15.96;0.000;0.490;0.000;6.65;-282.070;-133.114;-2.3
133.134;8;T7A;Multimodal;-282.070;-237.308;15.92;0.000;0.380;0.000;6.54;-282.070;-133.516;-2.3
133.234;8;T7A;Multimodal;-282.070;-235.720;15.85;0.000;0.310;0.000;6.43;-282.070;-133.941;-2.2
133.336;8;T7A;Multimodal;-282.070;-234.107;15.76;0.000;0.260;0.000;6.34;-282.070;-134.304;-2.2
133.438;8;T7A;Multimodal;-282.070;-232.504;15.67;0.000;0.240;0.000;6.26;-282.070;-134.672;-2.2
133.538;8;T7A;Multimodal;-282.070;-230.942;15.56;0.000;0.230;0.000;6.18;-282.070;-135.005;-2.2
133.640;8;T7A;Multimodal;-282.070;-229.359;15.47;0.000;0.220;0.000;6.09;-282.070;-135.351;-2.3
133.740;8;T7A;Multimodal;-282.070;-227.818;15.36;0.000;0.200;0.000;6.01;-282.070;-135.633;-2.3
133.840;8;T7A;Multimodal;-282.070;-226.288;15.24;0.000;0.170;0.000;5.94;-282.070;-135.896;-2.3
133.942;8;T7A;Multimodal;-282.070;-224.740;15.11;0.000;0.140;0.000;5.87;-282.070;-136.171;-2.4
134.042;8;T7A;Multimodal;-282.070;-223.236;14.98;0.000;0.140;0.000;5.80;-282.070;-136.389;-2.4
134.142;8;T7A;Multimodal;-282.070;-221.745;14.85;0.000;0.140;0.000;5.74;-282.070;-136.582;-2.4
134.244;8;T7A;Multimodal;-282.070;-220.237;14.72;0.000;0.150;0.000;5.68;-282.070;-136.754;-2.5
134.344;8;T7A;Multimodal;-282.070;-218.768;14.66;0.000;0.250;0.000;5.59;-282.070;-136.921;-2.5
134.446;8;T7A;Multimodal;-282.070;-217.274;14.63;0.000;0.350;0.000;5.50;-282.070;-137.047;-2.6
134.546;8;T7A;Multimodal;-282.070;-215.811;14.64;0.000;0.430;0.000;5.39;-282.070;-137.163;-2.7
134.646;8;T7A;Multimodal;-282.070;-214.346;14.66;0.000;0.450;0.000;5.28;-282.070;-137.246;-2.8
134.748;8;T7A;Multimodal;-282.070;-212.851;14.67;0.000;0.450;0.000;5.18;-282.070;-137.308;-2.8
134.848;8;T7A;Multimodal;-282.070;-211.383;14.69;0.000;0.450;0.000;5.06;-282.070;-137.350;-2.9
134.948;8;T7A;Multimodal;-282.070;-209.914;14.70;0.000;0.450;0.000;4.96;-282.070;-137.362;-2.9
135.050;8;T7A;Multimodal;-282.070;-208.414;14.72;0.000;0.450;0.000;4.85;-282.070;-137.361;-3.0
135.150;8;T7A;Multimodal;-282.070;-206.941;14.73;0.000;0.450;0.000;4.74;-282.070;-137.359;-3.0
135.252;8;T7A;Multimodal;-282.070;-205.438;14.75;0.000;0.450;0.000;4.64;-282.070;-137.357;-3.1
135.352;8;T7A;Multimodal;-282.070;-203.963;14.76;0.000;0.450;0.000;4.53;-282.070;-137.355;-3.2
135.452;8;T7A;Multimodal;-282.070;-202.486;14.77;0.000;0.450;0.000;4.42;-282.070;-137.353;-3.2
135.554;8;T7A;Multimodal;-282.070;-200.979;14.79;0.000;0.450;0.000;4.32;-282.070;-137.351;-3.3
135.654;8;T7A;Multimodal;-282.070;-199.499;14.80;0.000;0.450;0.000;4.22;-282.070;-137.349;-3.3
135.754;8;T7A;Multimodal;-282.070;-198.019;14.82;0.000;0.450;0.000;4.12;-282.070;-137.346;-3.4
135.856;8;T7A;Multimodal;-282.070;-196.507;14.82;0.000;0.450;0.000;4.01;-282.070;-137.344;-3.5
135.956;8;T7A;Multimodal;-282.070;-195.024;14.84;0.000;0.450;0.000;3.91;-282.070;-137.341;-3.6
136.058;8;T7A;Multimodal;-282.070;-193.510;14.85;0.000;0.450;0.000;3.80;-282.070;-137.338;-3.6
136.160;8;T7A;Multimodal;-282.070;-191.994;14.86;0.000;0.450;0.000;3.69;-282.070;-137.335;-3.7
136.260;8;T7A;Multimodal;-282.070;-190.507;14.88;0.000;0.450;0.000;3.60;-282.070;-137.333;-3.8
136.362;8;T7A;Multimodal;-282.070;-188.989;14.89;0.000;0.450;0.000;3.49;-282.070;-137.329;-3.9
136.462;8;T7A;Multimodal;-282.070;-187.499;14.90;0.000;0.450;0.000;3.39;-282.070;-137.326;-4.0
136.562;8;T7A;Multimodal;-282.070;-186.008;14.92;0.000;0.450;0.000;3.28;-282.070;-137.322;-4.1
136.664;8;T7A;Multimodal;-282.070;-184.487;14.92;0.000;0.450;0.000;3.18;-282.070;-137.318;-4.3
136.764;8;T7A;Multimodal;-282.070;-182.994;14.93;0.000;0.450;0.000;3.08;-282.070;-137.314;-4.4
136.864;8;T7A;Multimodal;-282.070;-181.500;14.94;0.000;0.450;0.000;2.97;-282.070;-137.310;-4.5
136.966;8;T7A;Multimodal;-282.070;-179.976;14.95;0.000;0.450;0.000;2.88;-282.070;-137.305;-4.7
137.066;8;T7A;Multimodal;-282.070;-178.480;14.96;0.000;0.450;0.000;2.77;-282.070;-137.300;-4.8
137.168;8;T7A;Multimodal;-282.070;-176.953;14.98;0.000;0.450;0.000;2.67;-282.070;-137.295;-5.0
137.268;8;T7A;Multimodal;-282.070;-175.455;14.98;0.000;0.450;0.000;2.56;-282.070;-137.289;-5.2
137.368;8;T7A;Multimodal;-282.070;-173.956;15.00;0.000;0.450;0.000;2.47;-282.070;-137.283;-5.4
137.470;8;T7A;Multimodal;-282.070;-172.426;15.01;0.000;0.450;0.000;2.36;-282.070;-137.275;-5.6
137.570;8;T7A;Multimodal;-282.070;-170.924;15.01;0.000;0.450;0.000;2.27;-282.070;-137.268;-5.8
137.670;8;T7A;Multimodal;-282.070;-169.422;15.03;0.000;0.450;0.000;2.16;-282.070;-137.260;-6.1
137.772;8;T7A;Multimodal;-282.070;-167.889;15.04;0.000;0.450;0.000;2.06;-282.070;-137.251;-6.4
137.872;8;T7A;Multimodal;-282.070;-166.384;15.05;0.000;0.450;0.000;1.96;-282.070;-137.241;-6.7
137.974;8;T7A;Multimodal;-282.070;-164.849;15.06;0.000;0.450;0.000;1.85;-282.070;-137.229;-7.1
138.074;8;T7A;Multimodal;-282.070;-163.342;15.07;0.000;0.450;0.000;1.76;-282.070;-137.217;-7.4
138.174;8;T7A;Multimodal;-282.070;-161.835;15.08;0.000;0.450;0.000;1.66;-282.070;-137.203;-7.9
138.276;8;T7A;Multimodal;-282.070;-160.297;15.09;0.000;0.450;0.000;1.56;-282.070;-137.188;-8.4
138.376;8;T7A;Multimodal;-282.070;-158.792;14.94;0.000;0.000;0.000;1.46;-282.070;-137.169;-9.0
138.476;8;T7A;Multimodal;-282.070;-157.309;14.75;0.022;0.000;0.000;1.39;-282.051;-137.147;-9.7
138.578;8;T7A;Multimodal;-282.066;-155.831;14.10;0.000;0.000;1.000;1.35;-282.015;-137.149;-10.7
138.678;8;T7A;Multimodal;-282.061;-154.464;13.28;0.000;0.000;1.000;1.32;-281.977;-137.184;-11.3
138.780;8;T7A;Multimodal;-282.053;-153.155;12.44;0.000;0.000;1.000;1.30;-281.936;-137.258;-11.8
138.882;8;T7A;Multimodal;-282.041;-151.929;11.63;0.000;0.000;1.000;1.28;-281.895;-137.374;-12.1
138.982;8;T7A;Multimodal;-282.028;-150.809;10.83;0.000;0.000;1.000;1.25;-281.853;-137.541;-12.3
139.084;8;T7A;Multimodal;-282.012;-149.748;10.03;0.000;0.000;1.000;1.22;-281.815;-137.753;-12.1
139.184;8;T7A;Multimodal;-281.995;-148.786;9.24;0.000;0.000;1.000;1.19;-281.783;-137.984;-11.7
139.284;8;T7A;Multimodal;-281.976;-147.903;8.48;0.000;0.000;1.000;1.16;-281.755;-138.224;-11.1
139.386;8;T7A;Multimodal;-281.955;-147.081;7.69;0.022;0.000;1.000;1.14;-281.723;-138.466;-10.2
139.486;8;T7A;Multimodal;-281.933;-146.352;6.94;0.022;0.000;1.000;1.12;-281.676;-138.696;-9.4
139.586;8;T7A;Multimodal;-281.907;-145.699;6.18;0.022;0.000;1.000;1.10;-281.622;-138.940;-8.0
139.688;8;T7A;Multimodal;-281.879;-145.110;5.42;0.022;0.000;1.000;1.10;-281.577;-139.142;-6.3
139.788;8;T7A;Multimodal;-281.850;-144.607;4.69;0.022;0.000;1.000;1.12;-281.534;-139.349;-3.7
139.890;8;T7A;Multimodal;-281.821;-144.170;3.95;0.022;0.000;1.000;1.17;-281.499;-139.538;0.5
139.990;8;T7A;Multimodal;-281.794;-143.814;3.23;0.022;0.000;1.000;1.28;-281.474;-139.709;4.8
140.090;8;T7A;Multimodal;-281.771;-143.530;2.51;0.000;0.000;1.000;1.49;-281.462;-139.851;10.8
140.192;8;T7A;Multimodal;-281.752;-143.314;1.80;0.022;0.000;1.000;1.94;-281.465;-139.942;17.9
140.292;8;T7A;Multimodal;-281.740;-143.172;1.09;0.022;0.000;1.000;3.27;-281.448;-139.985;26.7
140.392;8;T7A;Multimodal;-281.734;-143.100;0.40;0.022;0.000;1.000;9.00;-281.439;-139.954;34.6
140.494;8;T7A;Multimodal;-281.733;-143.093;0.01;0.022;0.000;1.000;352.98;-281.733;-143.093;41.1
140.594;8;T7A;Multimodal;-281.733;-143.093;0.01;0.022;0.000;1.000;665.37;-281.733;-143.093;46.3
140.696;8;T7A;Multimodal;-281.733;-143.093;0.00;0.022;0.000;1.000;618.94;-281.733;-143.093;50.9
140.796;8;T7A;Multimodal;-281.733;-143.093;0.00;0.022;0.000;0.400;656.77;-281.733;-143.093;54.8
