Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
141.016;9;T7B;Visual;-212.797;-261.022;0.22;0.022;0.000;0.000;51625.09;-209.710;-257.078;45.2
141.116;9;T7B;Visual;-212.797;-261.023;0.12;0.022;0.000;0.000;29898.62;-205.118;-251.165;45.2
141.218;9;T7B;Visual;-212.796;-261.022;0.07;0.022;0.410;0.000;4249.68;-212.796;-261.023;45.2
141.318;9;T7B;Visual;-212.783;-261.006;0.35;0.022;0.790;0.000;805.24;-106.556;-126.309;45.2
141.420;9;T7B;Visual;-212.748;-260.961;0.78;0.022;1.000;0.000;364.13;-106.297;-126.224;45.1
141.522;9;T7B;Visual;-212.684;-260.880;1.23;0.022;1.000;0.000;212.65;-106.304;-126.547;45.1
141.622;9;T7B;Visual;-212.593;-260.766;1.66;0.022;1.000;0.000;154.61;-106.323;-126.962;45.0
141.724;9;T7B;Visual;-212.473;-260.615;2.09;0.022;1.000;0.000;117.85;-106.280;-127.475;44.9
141.826;9;T7B;Visual;-212.324;-260.429;2.53;0.022;1.000;0.000;98.33;-106.189;-127.937;44.8
141.926;9;T7B;Visual;-212.151;-260.214;2.96;0.022;1.000;0.000;82.57;-106.027;-128.504;44.6
142.028;9;T7B;Visual;-211.947;-259.962;3.38;0.022;1.000;0.000;71.17;-105.801;-129.102;44.5
142.128;9;T7B;Visual;-211.720;-259.684;3.78;0.022;1.000;0.000;63.39;-105.551;-129.660;44.3
142.228;9;T7B;Visual;-211.467;-259.375;4.19;0.022;1.000;0.000;56.41;-105.225;-130.326;44.1
142.330;9;T7B;Visual;-211.180;-259.029;4.59;0.022;1.000;0.000;51.38;-104.890;-130.936;43.9
142.430;9;T7B;Visual;-210.872;-258.660;4.99;0.044;1.000;0.000;46.53;-104.281;-131.818;43.6
142.530;9;T7B;Visual;-210.536;-258.265;5.37;0.044;1.000;0.000;42.84;-103.293;-132.970;43.1
142.632;9;T7B;Visual;-210.163;-257.835;5.76;0.044;1.000;0.000;39.27;-102.117;-134.331;42.5
142.732;9;T7B;Visual;-209.767;-257.389;6.14;0.044;1.000;0.000;36.57;-101.050;-135.572;42.0
142.834;9;T7B;Visual;-209.333;-256.910;6.52;0.044;1.000;0.000;33.89;-99.801;-137.036;41.4
142.934;9;T7B;Visual;-208.876;-256.418;6.87;0.044;1.000;0.000;31.50;-98.489;-138.587;40.7
143.034;9;T7B;Visual;-208.389;-255.906;7.24;0.044;1.000;0.000;29.45;-97.194;-140.130;40.0
143.136;9;T7B;Visual;-207.859;-255.363;7.61;0.044;1.000;0.000;27.63;-95.881;-141.726;39.3
143.236;9;T7B;Visual;-207.308;-254.812;7.96;0.044;1.000;0.000;26.07;-94.632;-143.270;38.7
143.336;9;T7B;Visual;-206.725;-254.244;8.31;0.044;0.990;0.000;24.56;-93.270;-144.984;38.0
143.438;9;T7B;Visual;-206.096;-253.649;8.64;0.044;0.990;0.000;23.36;-92.095;-146.507;37.4
143.538;9;T7B;Visual;-205.448;-253.051;8.98;0.067;0.990;0.000;22.10;-90.693;-148.341;36.6
143.640;9;T7B;Visual;-204.751;-252.430;9.31;0.067;0.990;0.000;20.93;-88.995;-150.560;35.5
143.740;9;T7B;Visual;-204.031;-251.813;9.63;0.067;0.990;0.000;19.83;-87.162;-153.022;34.3
143.840;9;T7B;Visual;-203.274;-251.192;9.94;0.067;0.980;0.000;18.78;-85.198;-155.745;33.0
