Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
154.996;10;C2C;Visual;38.021;-379.870;0.22;0.022;0.090;0.000;6450.48;54.363;-379.963;-18.0
155.096;10;C2C;Visual;38.027;-379.870;0.17;0.022;0.280;0.000;1502.31;123.962;-380.460;-18.0
155.196;10;C2C;Visual;38.047;-379.870;0.31;0.022;0.490;0.000;583.81;180.597;-380.947;-18.0
155.298;10;C2C;Visual;38.093;-379.870;0.60;0.022;0.700;0.000;283.47;181.909;-381.048;-18.1
155.398;10;C2C;Visual;38.172;-379.870;0.98;0.022;0.900;0.000;169.30;181.974;-381.153;-18.1
155.500;10;C2C;Visual;38.294;-379.872;1.41;0.022;1.000;0.000;115.49;182.009;-381.316;-18.3
155.600;10;C2C;Visual;38.459;-379.874;1.85;0.022;1.000;0.000;85.89;182.011;-381.562;-18.4
155.700;10;C2C;Visual;38.666;-379.877;2.28;0.022;1.000;0.000;69.61;182.017;-381.846;-18.6
155.802;10;C2C;Visual;38.922;-379.881;2.71;0.022;1.000;0.000;57.50;182.028;-382.227;-18.8
155.902;10;C2C;Visual;39.215;-379.886;3.13;0.022;1.000;0.000;50.15;182.038;-382.602;-19.0
156.002;10;C2C;Visual;39.549;-379.893;3.54;0.022;1.000;0.000;43.87;182.048;-383.078;-19.3
156.104;10;C2C;Visual;39.932;-379.903;3.95;0.022;1.000;0.000;39.12;182.058;-383.599;-19.6
156.204;10;C2C;Visual;40.348;-379.914;4.35;0.022;1.000;0.000;35.54;182.066;-384.132;-19.9
156.306;10;C2C;Visual;40.814;-379.930;4.76;0.022;1.000;0.000;32.31;182.076;-384.768;-20.3
156.408;10;C2C;Visual;41.320;-379.948;5.16;0.000;1.000;0.000;29.66;182.096;-385.126;-20.6
156.508;10;C2C;Visual;41.855;-379.968;5.54;0.000;1.000;0.000;27.61;182.128;-385.125;-20.7
