Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
168.472;11;L2C;Visual;32.710;-379.829;0.07;0.000;0.000;0.000;860.96;171.577;-380.066;1.3
168.574;11;L2C;Visual;32.710;-379.829;0.01;0.000;0.000;0.000;860.96;171.577;-380.066;1.3
168.674;11;L2C;Visual;32.710;-379.829;0.03;0.000;0.000;0.000;860.96;171.577;-380.066;1.3
168.776;11;L2C;Visual;32.711;-379.829;0.06;0.000;0.340;0.000;860.96;171.577;-380.066;1.3
168.876;11;L2C;Visual;32.726;-379.829;0.29;0.000;0.810;0.000;860.96;171.577;-380.066;1.3
168.976;11;L2C;Visual;32.776;-379.829;0.70;0.000;0.980;0.000;860.96;171.577;-380.066;1.3
169.078;11;L2C;Visual;32.872;-379.829;1.15;0.000;0.990;0.000;860.96;171.577;-380.066;1.3
169.178;11;L2C;Visual;33.010;-379.829;1.59;0.000;0.990;0.000;860.96;171.577;-380.066;1.3
169.278;11;L2C;Visual;33.191;-379.829;2.01;0.000;0.980;0.000;860.96;171.577;-380.066;1.3
169.380;11;L2C;Visual;33.419;-379.829;2.43;0.000;0.970;0.000;860.96;171.577;-380.066;1.3
169.480;11;L2C;Visual;33.684;-379.829;2.84;0.000;0.970;0.000;860.96;171.577;-380.066;1.3
169.582;11;L2C;Visual;33.996;-379.829;3.25;0.000;0.970;0.000;860.96;171.577;-380.066;1.3
169.682;11;L2C;Visual;34.342;-379.829;3.65;0.000;0.960;0.000;860.96;171.577;-380.066;1.3
169.782;11;L2C;Visual;34.727;-379.829;4.03;0.000;0.950;0.000;860.96;171.577;-380.066;1.3
169.884;11;L2C;Visual;35.159;-379.829;4.41;0.000;0.940;0.000;860.96;171.577;-380.066;1.3
169.984;11;L2C;Visual;35.619;-379.829;4.78;0.000;0.920;0.000;860.96;171.577;-380.066;1.3
170.084;11;L2C;Visual;36.116;-379.829;5.13;0.000;0.920;0.000;860.96;171.577;-380.066;1.3
170.186;11;L2C;Visual;36.659;-379.829;5.49;0.000;0.920;0.000;860.96;171.577;-380.066;1.3
170.286;11;L2C;Visual;37.226;-379.829;5.83;0.000;0.920;0.000;860.96;171.577;-380.066;1.3
170.388;11;L2C;Visual;37.839;-379.829;6.18;0.000;0.920;0.000;860.96;171.577;-380.066;1.3
170.488;11;L2C;Visual;38.475;-379.829;6.51;0.000;0.910;0.000;860.96;171.577;-380.066;1.3
170.588;11;L2C;Visual;39.144;-379.829;6.84;0.000;0.910;0.000;860.96;171.577;-380.066;1.3
170.690;11;L2C;Visual;39.860;-379.829;7.17;0.000;0.910;0.000;860.96;171.577;-380.066;1.3
170.790;11;L2C;Visual;40.594;-379.829;7.49;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
170.890;11;L2C;Visual;41.359;-379.829;7.80;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
170.992;11;L2C;Visual;42.171;-379.829;8.11;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.092;11;L2C;Visual;42.999;-379.829;8.41;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.194;11;L2C;Visual;43.873;-379.829;8.72;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.296;11;L2C;Visual;44.778;-379.829;9.01;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.396;11;L2C;Visual;45.695;-379.829;9.31;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.498;11;L2C;Visual;46.661;-379.829;9.60;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.598;11;L2C;Visual;47.635;-379.829;9.88;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.698;11;L2C;Visual;48.638;-379.829;10.16;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.800;11;L2C;Visual;49.690;-379.829;10.44;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
171.900;11;L2C;Visual;50.748;-379.829;10.71;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.000;11;L2C;Visual;51.834;-379.829;10.98;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.102;11;L2C;Visual;52.969;-379.829;11.25;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.202;11;L2C;Visual;54.108;-379.829;11.51;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.304;11;L2C;Visual;55.296;-379.829;11.77;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.404;11;L2C;Visual;56.487;-379.829;12.03;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.504;11;L2C;Visual;57.704;-379.829;12.28;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.606;11;L2C;Visual;58.970;-379.829;12.53;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.706;11;L2C;Visual;60.236;-379.829;12.78;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.806;11;L2C;Visual;61.527;-379.830;13.02;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
172.908;11;L2C;Visual;62.868;-379.832;13.26;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
173.008;11;L2C;Visual;64.207;-379.833;13.50;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
173.110;11;L2C;Visual;65.597;-379.835;13.73;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
173.210;11;L2C;Visual;66.982;-379.836;13.97;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
173.310;11;L2C;Visual;68.391;-379.838;14.19;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
173.412;11;L2C;Visual;69.850;-379.839;14.42;0.000;0.900;0.000;860.96;171.577;-380.066;1.3
