Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
181.362;12;L2D;Audio;169.700;-240.300;0.22;0.000;0.000;0.000;0.50;158.391;-379.919;17.1
181.464;12;L2D;Audio;169.700;-240.300;0.13;0.000;0.000;0.000;0.50;158.391;-379.919;17.1
181.564;12;L2D;Audio;169.701;-240.300;0.02;0.000;0.000;0.000;0.50;158.391;-379.919;17.1
181.666;12;L2D;Audio;169.701;-240.300;0.03;0.000;0.090;0.000;0.50;158.391;-379.919;17.1
181.768;12;L2D;Audio;169.695;-240.300;0.14;0.000;0.520;0.000;0.50;158.391;-379.919;17.1
181.868;12;L2D;Audio;169.667;-240.300;0.44;0.000;0.840;0.000;0.50;158.391;-379.919;17.1
181.970;12;L2D;Audio;169.599;-240.300;0.86;0.000;0.960;0.000;0.50;158.391;-379.919;17.1
182.070;12;L2D;Audio;169.490;-240.300;1.29;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.170;12;L2D;Audio;169.337;-240.300;1.73;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.272;12;L2D;Audio;169.137;-240.300;2.17;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.372;12;L2D;Audio;168.897;-240.300;2.59;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.472;12;L2D;Audio;168.615;-240.300;3.01;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.574;12;L2D;Audio;168.285;-240.300;3.44;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.674;12;L2D;Audio;167.919;-240.300;3.85;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.776;12;L2D;Audio;167.505;-240.300;4.26;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.878;12;L2D;Audio;167.049;-240.300;4.65;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
182.978;12;L2D;Audio;166.563;-240.300;5.05;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
183.080;12;L2D;Audio;166.026;-240.300;5.45;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
183.180;12;L2D;Audio;165.461;-240.300;5.83;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
183.280;12;L2D;Audio;164.858;-240.301;6.20;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
183.382;12;L2D;Audio;164.205;-240.302;6.58;0.000;1.000;0.000;0.50;158.391;-379.919;17.1
