Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
196.660;13;L2B;Multimodal;-245.290;-142.329;0.05;-0.044;0.000;0.000;0.50;158.391;-379.919;17.1
196.760;13;L2B;Multimodal;-245.290;-142.329;0.02;-0.044;0.000;0.000;0.50;158.391;-379.919;17.1
196.860;13;L2B;Multimodal;-245.291;-142.329;0.03;-0.044;0.290;0.000;0.50;158.391;-379.919;17.1
196.962;13;L2B;Multimodal;-245.281;-142.329;0.16;-0.044;0.620;0.000;0.50;158.391;-379.919;17.1
197.062;13;L2B;Multimodal;-245.248;-142.328;0.48;-0.022;0.820;0.000;0.50;158.391;-379.919;17.1
197.164;13;L2B;Multimodal;-245.178;-142.327;0.87;-0.022;0.950;0.000;0.50;158.391;-379.919;17.1
197.266;13;L2B;Multimodal;-245.065;-142.326;1.31;-0.022;1.000;0.000;0.50;158.391;-379.919;17.1
197.366;13;L2B;Multimodal;-244.911;-142.324;1.75;-0.022;1.000;0.000;0.50;158.391;-379.919;17.1
197.468;13;L2B;Multimodal;-244.709;-142.322;2.19;-0.022;1.000;0.000;0.50;158.391;-379.919;17.1
197.568;13;L2B;Multimodal;-244.468;-142.318;2.61;-0.022;1.000;0.000;0.50;158.391;-379.919;17.1
197.668;13;L2B;Multimodal;-244.185;-142.313;3.03;-0.022;1.000;0.000;0.50;158.391;-379.919;17.1
197.770;13;L2B;Multimodal;-243.854;-142.307;3.45;0.022;0.990;0.000;0.50;158.391;-379.919;17.1
197.870;13;L2B;Multimodal;-243.487;-142.303;3.85;0.022;0.990;0.000;0.50;158.391;-379.919;17.1
197.970;13;L2B;Multimodal;-243.081;-142.300;4.24;0.022;0.990;0.000;0.50;158.391;-379.919;17.1
198.072;13;L2B;Multimodal;-242.626;-142.299;4.65;0.000;0.980;0.000;0.50;158.391;-379.919;17.1
198.172;13;L2B;Multimodal;-242.141;-142.299;5.03;0.000;0.980;0.000;0.50;158.391;-379.919;17.1
198.274;13;L2B;Multimodal;-241.607;-142.297;5.41;-0.022;0.970;0.000;0.50;158.391;-379.919;17.1
198.374;13;L2B;Multimodal;-241.047;-142.293;5.77;-0.022;0.950;0.000;0.50;158.391;-379.919;17.1
198.474;13;L2B;Multimodal;-240.451;-142.284;6.13;-0.022;0.950;0.000;0.50;158.391;-379.919;17.1
198.576;13;L2B;Multimodal;-239.807;-142.272;6.49;-0.022;0.950;0.000;0.50;158.391;-379.919;17.1
198.676;13;L2B;Multimodal;-239.140;-142.256;6.82;0.000;0.940;0.000;0.50;158.391;-379.919;17.1
198.776;13;L2B;Multimodal;-238.440;-142.239;7.16;0.000;0.930;0.000;0.50;158.391;-379.919;17.1
198.878;13;L2B;Multimodal;-237.693;-142.222;7.49;0.022;0.920;0.000;0.50;158.391;-379.919;17.1
198.978;13;L2B;Multimodal;-236.928;-142.208;7.81;0.022;0.920;0.000;0.50;158.391;-379.919;17.1
199.080;13;L2B;Multimodal;-236.114;-142.197;8.13;0.022;0.920;0.000;0.50;158.391;-379.919;17.1
199.180;13;L2B;Multimodal;-235.285;-142.192;8.42;0.022;0.910;0.000;0.50;158.391;-379.919;17.1
199.280;13;L2B;Multimodal;-234.427;-142.191;8.72;0.022;0.900;0.000;0.50;158.391;-379.919;17.1
