Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
209.274;14;C1C;Control;38.020;-379.870;0.22;-0.044;0.000;0.000;0.49;-114.807;-143.430;-1.1
209.376;14;C1C;Control;38.020;-379.870;0.12;-0.044;0.000;0.000;0.49;-114.807;-143.430;-1.1
209.476;14;C1C;Control;38.019;-379.870;0.02;-0.044;0.000;0.000;0.49;-114.807;-143.430;-1.1
209.578;14;C1C;Control;38.024;-379.870;0.13;-0.044;0.410;0.000;0.49;-114.807;-143.430;-1.1
209.678;14;C1C;Control;38.053;-379.870;0.50;-0.044;0.940;0.000;0.49;-114.807;-143.430;-1.1
209.778;14;C1C;Control;38.126;-379.869;0.94;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
209.880;14;C1C;Control;38.246;-379.867;1.39;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
209.980;14;C1C;Control;38.409;-379.863;1.82;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
210.080;14;C1C;Control;38.614;-379.858;2.26;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
210.182;14;C1C;Control;38.867;-379.851;2.69;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
210.282;14;C1C;Control;39.157;-379.840;3.10;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
210.384;14;C1C;Control;39.496;-379.826;3.52;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
210.484;14;C1C;Control;39.870;-379.808;3.93;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
210.584;14;C1C;Control;40.283;-379.785;4.33;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
210.686;14;C1C;Control;40.746;-379.755;4.73;-0.044;1.000;0.000;0.49;-114.807;-143.430;-1.1
210.786;14;C1C;Control;41.238;-379.720;5.13;-0.022;1.000;0.000;0.49;-114.807;-143.430;-1.1
