Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
227.236;15;C2B;Audio;-216.980;-288.120;0.22;0.044;0.000;0.000;124645.90;-216.940;-283.224;66.5
227.336;15;C2B;Audio;-216.980;-288.120;0.13;0.044;0.000;0.000;58938.06;-216.955;-275.989;66.5
227.438;15;C2B;Audio;-216.980;-288.120;0.02;0.044;0.000;0.000;46386.08;-216.980;-288.120;66.5
227.538;15;C2B;Audio;-216.980;-288.119;0.05;0.044;0.190;0.000;10922.06;-216.980;-288.119;66.5
227.638;15;C2B;Audio;-216.980;-288.108;0.23;0.022;0.670;0.000;2454.74;-215.582;-114.707;66.4
227.740;15;C2B;Audio;-216.980;-288.065;0.63;0.044;1.000;0.000;781.64;-214.759;-112.907;66.4
227.840;15;C2B;Audio;-216.978;-287.978;1.13;0.044;1.000;0.000;435.27;-214.084;-112.878;66.3
227.940;15;C2B;Audio;-216.976;-287.846;1.53;0.044;1.000;0.000;300.25;-213.598;-112.814;66.2
228.042;15;C2B;Audio;-216.972;-287.667;1.97;0.044;1.000;0.000;223.67;-212.935;-112.713;66.0
228.142;15;C2B;Audio;-216.966;-287.448;2.38;0.044;1.000;0.000;182.13;-212.209;-112.608;65.7
228.244;15;C2B;Audio;-216.958;-287.182;2.81;0.044;1.000;0.000;150.39;-211.237;-112.474;65.4
228.344;15;C2B;Audio;-216.947;-286.878;3.22;0.044;1.000;0.000;129.62;-210.216;-112.340;65.1
228.444;15;C2B;Audio;-216.932;-286.534;3.64;0.044;1.000;0.000;113.96;-209.094;-112.200;64.8
228.546;15;C2B;Audio;-216.912;-286.140;4.05;0.022;1.000;0.000;100.39;-207.940;-112.021;64.4
228.646;15;C2B;Audio;-216.890;-285.714;4.46;-0.022;1.000;0.000;91.96;-207.877;-111.800;64.3
228.746;15;C2B;Audio;-216.868;-285.248;4.84;-0.022;1.000;0.000;85.84;-208.909;-111.491;64.7
228.848;15;C2B;Audio;-216.846;-284.732;5.25;-0.044;1.000;0.000;80.59;-210.053;-111.140;65.2
228.948;15;C2B;Audio;-216.829;-284.188;5.62;-0.022;1.000;0.000;76.70;-211.731;-110.745;66.1
229.050;15;C2B;Audio;-216.813;-283.593;6.01;0.000;1.000;0.000;73.13;-212.525;-110.390;66.5
229.152;15;C2B;Audio;-216.798;-282.959;6.41;0.000;1.000;0.000;69.18;-212.736;-109.990;66.7
229.252;15;C2B;Audio;-216.783;-282.299;6.76;0.000;1.000;0.000;66.00;-212.820;-109.605;66.9
229.354;15;C2B;Audio;-216.767;-281.590;7.13;0.022;1.000;0.000;62.78;-212.730;-109.159;67.1
229.454;15;C2B;Audio;-216.748;-280.856;7.51;0.000;1.000;0.000;59.86;-212.143;-108.755;66.9
229.554;15;C2B;Audio;-216.726;-280.089;7.85;0.022;1.000;0.000;57.17;-211.783;-108.268;67.1
229.656;15;C2B;Audio;-216.700;-279.269;8.21;0.044;1.000;0.000;54.32;-210.792;-107.778;66.9
229.756;15;C2B;Audio;-216.666;-278.430;8.55;0.067;1.000;0.000;51.53;-209.132;-107.374;66.3
229.856;15;C2B;Audio;-216.619;-277.558;8.88;0.044;1.000;0.000;48.01;-206.280;-106.957;65.1
229.958;15;C2B;Audio;-216.554;-276.635;9.23;0.067;1.000;0.000;45.24;-203.787;-106.611;64.5
230.058;15;C2B;Audio;-216.473;-275.699;9.56;0.067;1.000;0.000;42.44;-200.741;-106.343;63.5
230.160;15;C2B;Audio;-216.368;-274.712;9.88;0.067;1.000;0.000;39.47;-196.989;-106.136;62.3
230.260;15;C2B;Audio;-216.240;-273.716;10.20;0.067;1.000;0.000;36.98;-193.405;-106.039;61.2
230.360;15;C2B;Audio;-216.086;-272.692;10.49;0.067;1.000;0.000;34.53;-189.418;-106.033;60.0
230.462;15;C2B;Audio;-215.900;-271.620;10.82;0.089;1.000;0.000;32.49;-185.702;-106.127;59.0
230.562;15;C2B;Audio;-215.685;-270.544;11.11;0.089;1.000;0.000;30.43;-181.351;-106.425;57.4
230.662;15;C2B;Audio;-215.435;-269.447;11.38;0.089;1.000;0.000;28.45;-176.579;-106.933;55.8
230.764;15;C2B;Audio;-215.139;-268.308;11.68;0.089;1.000;0.000;26.48;-171.225;-107.705;54.0
230.864;15;C2B;Audio;-214.806;-267.174;11.93;0.111;1.000;0.000;24.89;-166.352;-108.589;52.5
230.966;15;C2B;Audio;-214.420;-266.003;12.20;0.111;0.990;0.000;23.16;-160.321;-109.974;50.3
