Time;Trial;Scene;Modality;PosX;PosZ;Speed;Steer;Throttle;Brake;TTC;PredCrashX;PredCrashZ;CrashAngle
242.340;16;T7D;Audio;144.210;-239.576;0.22;0.022;0.000;0.000;38507.30;139.853;-239.557;-1.1
242.440;16;T7D;Audio;144.210;-239.576;0.14;0.022;0.000;0.000;20841.79;133.126;-239.565;-1.2
242.542;16;T7D;Audio;144.210;-239.576;0.05;0.022;0.150;0.000;4816.56;144.210;-239.576;-1.2
242.642;16;T7D;Audio;144.200;-239.576;0.22;0.022;0.820;0.000;1014.57;-25.062;-238.588;-1.2
242.744;16;T7D;Audio;144.158;-239.576;0.59;0.022;1.000;0.000;333.98;-26.101;-238.311;-1.4
242.846;16;T7D;Audio;144.078;-239.575;0.94;0.022;1.000;0.000;199.95;-25.888;-238.144;-1.7
242.946;16;T7D;Audio;143.966;-239.574;1.28;0.022;1.000;0.000;139.54;-25.462;-237.936;-2.0
243.048;16;T7D;Audio;143.816;-239.572;1.63;0.022;1.000;0.000;109.31;-25.073;-237.688;-2.1
243.148;16;T7D;Audio;143.634;-239.570;1.98;0.022;1.000;0.000;89.13;-24.673;-237.375;-2.2
243.248;16;T7D;Audio;143.418;-239.567;2.33;0.022;1.000;0.000;75.73;-24.288;-237.020;-2.3
243.350;16;T7D;Audio;143.163;-239.563;2.66;0.022;1.000;0.000;65.33;-23.876;-236.586;-2.4
243.450;16;T7D;Audio;142.879;-239.557;2.99;0.000;1.000;0.000;56.91;-23.431;-236.487;-2.5
243.550;16;T7D;Audio;142.562;-239.552;3.32;-0.022;1.000;0.000;50.95;-23.043;-237.082;-2.5
243.652;16;T7D;Audio;142.205;-239.548;3.65;0.000;1.000;0.000;46.12;-22.652;-237.816;-2.4
243.752;16;T7D;Audio;141.823;-239.543;3.98;0.000;1.000;0.000;42.12;-22.254;-237.716;-2.4
243.854;16;T7D;Audio;141.400;-239.539;4.30;0.000;1.000;0.000;38.76;-21.852;-237.680;-2.4
243.956;16;T7D;Audio;140.944;-239.534;4.62;0.000;1.000;0.000;35.90;-21.454;-237.668;-2.4
244.056;16;T7D;Audio;140.466;-239.528;4.93;0.000;1.000;0.000;33.37;-21.048;-237.663;-2.4
244.158;16;T7D;Audio;139.947;-239.522;5.23;0.000;1.000;0.000;31.23;-20.644;-237.661;-2.4
244.258;16;T7D;Audio;139.408;-239.516;5.53;-0.022;1.000;0.000;29.36;-20.247;-237.832;-2.4
244.358;16;T7D;Audio;138.839;-239.511;5.83;-0.022;1.000;0.000;27.62;-19.837;-238.620;-2.2
244.460;16;T7D;Audio;138.229;-239.510;6.12;-0.022;1.000;0.000;26.13;-19.443;-239.463;-2.0
244.560;16;T7D;Audio;137.602;-239.512;6.40;-0.022;1.000;0.000;24.79;-19.036;-240.357;-1.8
244.660;16;T7D;Audio;136.947;-239.518;6.68;-0.022;1.000;0.000;23.57;-18.631;-241.286;-1.8
244.762;16;T7D;Audio;136.250;-239.529;6.97;0.000;1.000;0.000;22.45;-18.219;-242.106;1.8
244.862;16;T7D;Audio;135.538;-239.541;7.25;0.000;1.000;0.000;21.43;-17.813;-242.412;1.8
244.964;16;T7D;Audio;134.783;-239.556;7.53;0.000;1.000;0.000;20.47;-17.407;-242.570;1.8
245.064;16;T7D;Audio;134.017;-239.572;7.79;0.000;1.000;0.000;19.61;-17.003;-242.645;1.8
245.164;16;T7D;Audio;133.223;-239.588;8.06;0.000;1.000;0.000;18.82;-16.607;-242.680;1.8
245.266;16;T7D;Audio;132.387;-239.605;8.33;0.000;1.000;0.000;18.05;-16.205;-242.695;1.8
245.366;16;T7D;Audio;131.540;-239.623;8.59;0.000;1.000;0.000;17.34;-15.796;-242.699;1.8
245.466;16;T7D;Audio;130.668;-239.641;8.85;0.000;1.000;0.000;16.68;-15.394;-242.697;1.8
245.568;16;T7D;Audio;129.751;-239.660;9.10;0.000;1.000;0.000;16.07;-14.991;-242.693;1.8
245.668;16;T7D;Audio;128.827;-239.679;9.36;0.000;1.000;0.000;15.46;-14.580;-242.687;1.8
245.770;16;T7D;Audio;127.859;-239.699;9.61;0.000;1.000;0.000;14.92;-14.176;-242.680;1.8
245.870;16;T7D;Audio;126.885;-239.719;9.86;0.000;1.000;0.000;14.41;-13.782;-242.672;1.8
245.970;16;T7D;Audio;125.886;-239.740;10.10;0.000;1.000;0.000;13.92;-13.386;-242.664;1.8
246.072;16;T7D;Audio;124.843;-239.762;10.35;0.000;1.000;0.000;13.46;-12.985;-242.656;1.8
246.172;16;T7D;Audio;123.796;-239.784;10.58;0.000;1.000;0.000;13.01;-12.582;-242.648;1.8
246.272;16;T7D;Audio;122.725;-239.806;10.82;0.000;1.000;0.000;12.59;-12.185;-242.639;1.8
246.374;16;T7D;Audio;121.609;-239.829;11.05;0.000;1.000;0.000;12.19;-11.784;-242.631;1.8
246.474;16;T7D;Audio;120.491;-239.853;11.29;0.000;1.000;0.000;11.80;-11.375;-242.623;1.8
246.576;16;T7D;Audio;119.328;-239.877;11.52;0.022;1.000;0.000;11.42;-10.968;-242.614;1.8
246.678;16;T7D;Audio;118.141;-239.900;11.74;0.022;1.000;0.000;11.05;-10.566;-242.255;-1.8
246.778;16;T7D;Audio;116.955;-239.918;11.96;0.022;1.000;0.000;10.71;-10.168;-241.664;-1.9
246.880;16;T7D;Audio;115.723;-239.930;12.19;0.000;1.000;0.000;10.38;-9.776;-240.890;-2.2
246.980;16;T7D;Audio;114.493;-239.936;12.40;0.000;1.000;0.000;10.07;-9.378;-240.357;-2.3
247.080;16;T7D;Audio;113.241;-239.938;12.62;0.000;1.000;0.000;9.76;-8.971;-240.008;-2.3
247.182;16;T7D;Audio;111.943;-239.937;12.83;0.000;1.000;0.000;9.46;-8.559;-239.804;-2.2
247.282;16;T7D;Audio;110.649;-239.935;13.04;0.000;1.000;0.000;9.17;-8.155;-239.685;-2.2
247.382;16;T7D;Audio;109.334;-239.932;13.24;-0.022;1.000;0.000;8.90;-7.759;-239.639;-2.2
247.484;16;T7D;Audio;107.971;-239.931;13.45;-0.022;1.000;0.000;8.64;-7.360;-239.872;-2.0
247.584;16;T7D;Audio;106.615;-239.934;13.66;-0.022;0.980;0.000;8.39;-6.974;-240.327;-1.8
247.686;16;T7D;Audio;105.211;-239.944;13.86;-0.022;0.800;0.000;8.11;-6.551;-241.032;1.8
247.786;16;T7D;Audio;103.816;-239.962;14.05;-0.022;0.520;0.000;7.89;-6.231;-241.673;1.9
247.886;16;T7D;Audio;102.396;-239.991;14.37;-0.022;0.450;0.000;7.58;-5.883;-242.433;2.3
247.988;16;T7D;Audio;100.932;-240.030;14.36;0.000;0.440;0.000;7.44;-5.551;-243.149;2.4
248.088;16;T7D;Audio;99.496;-240.077;14.37;0.022;0.460;0.000;7.31;-5.242;-243.694;2.3
248.188;16;T7D;Audio;98.058;-240.128;14.40;0.022;0.470;0.000;7.19;-4.993;-243.857;1.9
248.290;16;T7D;Audio;96.589;-240.179;14.43;0.022;0.470;0.000;7.05;-4.754;-243.721;1.4
248.390;16;T7D;Audio;95.145;-240.226;14.46;0.022;0.470;0.000;6.93;-4.552;-243.328;-1.3
248.492;16;T7D;Audio;93.670;-240.266;14.48;0.022;0.460;0.000;6.80;-4.373;-242.744;-1.5
248.592;16;T7D;Audio;92.222;-240.296;14.50;0.000;0.460;0.000;6.67;-4.214;-242.028;-1.9
248.692;16;T7D;Audio;90.771;-240.317;14.52;0.000;0.460;0.000;6.55;-4.076;-241.476;-2.0
248.794;16;T7D;Audio;89.289;-240.332;14.54;0.000;0.460;0.000;6.43;-3.958;-241.068;-2.0
248.894;16;T7D;Audio;87.834;-240.341;14.56;0.000;0.460;0.000;6.32;-3.862;-240.803;-1.9
248.994;16;T7D;Audio;86.377;-240.346;14.58;0.000;0.460;0.000;6.20;-3.786;-240.617;-1.9
249.096;16;T7D;Audio;84.889;-240.349;14.60;0.000;0.460;0.000;6.09;-3.734;-240.491;-1.9
249.196;16;T7D;Audio;83.427;-240.351;14.62;0.000;0.460;0.000;5.98;-3.707;-240.407;-1.9
249.298;16;T7D;Audio;81.935;-240.351;14.64;0.000;0.460;0.000;5.87;-3.705;-240.349;-1.9
249.400;16;T7D;Audio;80.440;-240.351;14.66;0.000;0.460;0.000;5.76;-3.706;-240.309;-1.9
249.500;16;T7D;Audio;78.973;-240.350;14.68;0.000;0.460;0.000;5.65;-3.706;-240.281;-1.9
249.602;16;T7D;Audio;77.474;-240.348;14.70;0.000;0.460;0.000;5.54;-3.707;-240.262;-2.0
249.702;16;T7D;Audio;76.003;-240.347;14.72;0.000;0.460;0.000;5.44;-3.707;-240.249;-2.0
249.802;16;T7D;Audio;74.531;-240.345;14.74;0.000;0.460;0.000;5.33;-3.708;-240.239;-2.0
249.904;16;T7D;Audio;73.027;-240.342;14.76;0.000;0.460;0.000;5.22;-3.708;-240.232;-2.0
250.004;16;T7D;Audio;71.550;-240.340;14.77;0.000;0.460;0.000;5.11;-3.709;-240.227;-2.0
250.104;16;T7D;Audio;70.072;-240.338;14.79;0.000;0.460;0.000;5.00;-3.710;-240.224;-2.1
250.206;16;T7D;Audio;68.562;-240.336;14.81;0.000;0.460;0.000;4.89;-3.710;-240.221;-2.1
250.306;16;T7D;Audio;67.080;-240.333;14.83;0.000;0.460;0.000;4.80;-3.711;-240.219;-2.1
250.408;16;T7D;Audio;65.566;-240.331;14.85;0.000;0.460;0.000;4.68;-3.712;-240.217;-2.1
250.508;16;T7D;Audio;64.081;-240.329;14.87;0.000;0.460;0.000;4.59;-3.713;-240.216;-2.2
250.608;16;T7D;Audio;62.594;-240.326;14.88;0.000;0.460;0.000;4.48;-3.713;-240.215;-2.2
250.710;16;T7D;Audio;61.075;-240.324;14.90;0.000;0.460;0.000;4.37;-3.714;-240.213;-2.2
250.810;16;T7D;Audio;59.584;-240.322;14.92;0.000;0.460;0.000;4.26;-3.715;-240.213;-2.3
250.910;16;T7D;Audio;58.092;-240.319;14.93;0.000;0.460;0.000;4.15;-3.716;-240.212;-2.3
251.012;16;T7D;Audio;56.568;-240.317;14.95;0.000;0.460;0.000;4.05;-3.717;-240.212;-2.4
251.112;16;T7D;Audio;55.073;-240.315;14.96;0.000;0.460;0.000;3.95;-3.718;-240.212;-2.4
251.214;16;T7D;Audio;53.546;-240.312;14.98;0.000;0.460;0.000;3.84;-3.719;-240.212;-2.4
251.314;16;T7D;Audio;52.047;-240.310;14.99;0.000;0.460;0.000;3.74;-3.720;-240.212;-2.5
251.414;16;T7D;Audio;50.547;-240.308;15.01;0.000;0.460;0.000;3.63;-3.722;-240.212;-2.5
251.516;16;T7D;Audio;49.015;-240.306;15.02;0.000;0.460;0.000;3.52;-3.723;-240.212;-2.6
251.616;16;T7D;Audio;47.512;-240.303;15.04;0.000;0.460;0.000;3.42;-3.724;-240.213;-2.6
251.716;16;T7D;Audio;46.008;-240.301;15.05;0.000;0.460;0.000;3.32;-3.726;-240.213;-2.7
251.818;16;T7D;Audio;44.471;-240.298;15.07;0.000;0.460;0.000;3.22;-3.727;-240.213;-2.8
251.918;16;T7D;Audio;42.964;-240.295;15.08;0.000;0.460;0.000;3.11;-3.729;-240.212;-2.8
252.020;16;T7D;Audio;41.424;-240.292;15.10;0.000;0.460;0.000;3.00;-3.731;-240.211;-2.9
252.122;16;T7D;Audio;39.884;-240.289;15.11;0.000;0.460;0.000;2.90;-3.733;-240.211;-3.0
252.222;16;T7D;Audio;38.372;-240.286;15.12;0.000;0.460;0.000;2.80;-3.735;-240.210;-3.1
252.324;16;T7D;Audio;36.828;-240.283;15.14;0.000;0.460;0.000;2.69;-3.737;-240.209;-3.2
252.424;16;T7D;Audio;35.314;-240.280;15.15;0.000;0.460;0.000;2.60;-3.739;-240.208;-3.3
252.524;16;T7D;Audio;33.798;-240.277;15.16;0.000;0.460;0.000;2.49;-3.742;-240.207;-3.4
252.626;16;T7D;Audio;32.251;-240.274;15.18;0.000;0.460;0.000;2.38;-3.745;-240.207;-3.5
252.726;16;T7D;Audio;30.732;-240.270;15.19;0.000;0.460;0.000;2.29;-3.748;-240.206;-3.7
252.826;16;T7D;Audio;29.213;-240.267;15.20;0.000;0.460;0.000;2.18;-3.751;-240.205;-3.8
252.928;16;T7D;Audio;27.661;-240.264;15.22;0.000;0.460;0.000;2.08;-3.755;-240.204;-4.0
253.028;16;T7D;Audio;26.139;-240.261;15.23;0.000;0.460;0.000;1.98;-3.759;-240.204;-4.2
253.130;16;T7D;Audio;24.585;-240.258;15.24;0.000;0.460;0.000;1.87;-3.764;-240.203;-4.4
253.230;16;T7D;Audio;23.060;-240.255;15.25;0.000;0.460;0.000;1.78;-3.768;-240.203;-4.6
253.330;16;T7D;Audio;21.534;-240.252;15.26;0.000;0.460;0.000;1.67;-3.775;-240.202;-4.9
253.432;16;T7D;Audio;19.977;-240.249;15.28;0.000;0.460;0.000;1.57;-3.776;-240.202;-5.1
253.532;16;T7D;Audio;18.448;-240.246;15.29;0.000;0.460;0.000;1.46;-3.740;-240.202;-5.2
253.632;16;T7D;Audio;16.927;-240.243;15.11;0.000;0.000;0.000;1.37;-3.665;-240.202;-5.3
253.734;16;T7D;Audio;15.416;-240.241;14.44;-0.022;0.000;0.270;1.32;-3.540;-240.225;-4.8
253.834;16;T7D;Audio;14.020;-240.241;13.56;0.000;0.000;1.000;1.29;-3.374;-240.259;-4.0
253.936;16;T7D;Audio;12.682;-240.245;12.73;0.000;0.000;1.000;1.25;-3.165;-240.298;-3.4
254.036;16;T7D;Audio;11.452;-240.251;11.92;0.000;0.000;1.000;1.21;-2.907;-240.340;-2.4
254.136;16;T7D;Audio;10.302;-240.260;11.12;0.000;0.000;1.000;1.16;-2.630;-240.382;-1.3
254.238;16;T7D;Audio;9.211;-240.272;10.32;0.000;0.000;1.000;1.12;-2.370;-240.418;0.6
254.338;16;T7D;Audio;8.221;-240.287;9.53;0.000;0.000;1.000;1.09;-2.137;-240.448;2.0
254.438;16;T7D;Audio;7.309;-240.303;8.76;0.000;0.000;1.000;1.05;-1.875;-240.479;4.2
254.540;16;T7D;Audio;6.459;-240.321;7.97;0.000;0.000;1.000;1.02;-1.641;-240.503;7.0
254.640;16;T7D;Audio;5.702;-240.339;7.21;0.000;0.000;1.000;1.01;-1.420;-240.522;10.6
254.742;16;T7D;Audio;5.008;-240.358;6.45;0.000;0.000;1.000;1.01;-1.240;-240.535;14.9
254.844;16;T7D;Audio;4.392;-240.376;5.69;0.000;0.000;1.000;1.03;-1.111;-240.545;20.0
254.944;16;T7D;Audio;3.863;-240.393;4.95;0.000;0.000;1.000;1.11;-1.026;-240.552;26.7
255.046;16;T7D;Audio;3.399;-240.408;4.20;0.000;0.000;1.000;1.30;-1.015;-240.560;35.4
255.146;16;T7D;Audio;3.017;-240.422;3.48;0.000;0.000;1.000;1.64;-1.082;-240.566;43.8
